#{"t_start": 1774631386.2641582, "env_id": "None"}
r,l,t
1.984181,100,2.837892
1.530503,100,2.912214
-2.09906,100,2.984562
-0.091697,100,3.057534
-7.374591,100,3.128538
-2.701782,100,3.196737
0.959091,100,3.269545
7.234604,100,3.338983
-3.26725,100,3.408561
-3.617533,100,3.477096
-3.932672,100,3.545439
-4.179356,100,3.614501
-0.041119,100,3.68193
-2.94697,100,3.750656
7.413665,100,3.818975
6.153974,100,3.887062
8.039967,100,3.955612
0.630194,100,4.026411
-2.503436,100,4.095567
-4.568413,100,4.163258
-5.525114,100,5.53484
3.363457,100,5.627934
-0.952669,100,5.72438
5.317428,100,5.798985
0.923985,100,5.879174
4.866466,100,5.949309
1.69565,100,6.020581
1.348976,100,6.099335
0.849964,100,6.215662
7.058373,100,6.302354
2.216136,100,6.378134
-0.582651,100,6.456989
6.802833,100,6.539471
0.539552,100,6.614361
2.672997,100,6.685902
7.991886,100,6.752161
1.519508,100,6.816091
1.565576,100,6.879799
-1.155051,100,6.946552
3.525157,100,7.010151
1.69559,100,8.260533
7.233686,100,8.333855
6.813816,100,8.404188
3.934291,100,8.481913
4.618716,100,8.55651
5.407346,100,8.621696
14.803377,100,8.693355
4.977902,100,8.768704
1.405872,100,8.847262
7.477381,100,8.923245
0.185808,100,8.995966
-0.919023,100,9.067076
4.074692,100,9.13662
4.09427,100,9.209961
7.321658,100,9.28125
5.027908,100,9.348846
6.820537,100,9.424327
5.825113,100,9.504332
3.917861,100,9.580116
5.635137,100,9.658791
12.040249,100,9.737283
7.886638,100,10.967808
8.341558,100,11.046435
4.018489,100,11.12444
1.164728,100,11.190999
9.675695,100,11.258276
13.455056,100,11.323511
5.86541,100,11.387716
7.86116,100,11.453219
12.859976,100,11.516201
21.71175,100,11.581698
15.49329,100,11.642968
8.453418,100,11.705026
5.401622,100,11.766844
4.464182,100,11.827597
7.818641,100,11.896181
2.287211,100,11.966956
5.644822,100,12.037851
1.57957,100,12.109903
6.052163,100,12.178753
12.627222,100,12.246037
12.871658,100,13.514879
8.16114,100,13.580846
10.829006,100,13.651122
5.3434,100,13.724674
4.44075,100,13.79385
5.013746,100,13.86324
10.054911,100,13.932351
13.512098,100,14.000876
21.641415,100,14.071309
16.162294,100,14.14236
3.375625,100,14.213029
8.154013,100,14.306321
6.313497,100,14.388805
9.331494,100,14.466083
15.979084,100,14.538653
8.309133,100,14.60465
8.889935,100,14.68119
-1.031838,100,14.75268
23.78063,100,14.82153
17.076979,100,14.889845
7.857927,100,14.955132
